,Surprise,Fear,Disgust,Happiness,Sadness,Anger,Neutral
Surprise,245,3,5,17,10,8,41
Fear,13,34,0,11,6,4,6
Disgust,7,1,62,19,19,16,36
Happiness,12,1,11,1059,28,11,63
Sadness,4,5,15,38,332,13,71
Anger,10,2,11,17,4,106,12
Neutral,10,1,11,35,59,6,558
