,Surprise,Fear,Disgust,Happiness,Sadness,Anger,Neutral
Surprise,0.7446808510638298,0.00911854103343465,0.015197568389057751,0.05167173252279635,0.030395136778115502,0.0243161094224924,0.12462006079027356
Fear,0.17567567567567569,0.4594594594594595,0.0,0.14864864864864866,0.08108108108108109,0.05405405405405406,0.08108108108108109
Disgust,0.04375,0.00625,0.3875,0.11875,0.11875,0.1,0.225
Happiness,0.010126582278481013,0.0008438818565400844,0.009282700421940928,0.8936708860759494,0.02362869198312236,0.009282700421940928,0.053164556962025315
Sadness,0.008368200836820083,0.010460251046025104,0.03138075313807531,0.0794979079497908,0.694560669456067,0.027196652719665274,0.14853556485355648
Anger,0.06172839506172839,0.012345679012345678,0.06790123456790123,0.10493827160493827,0.024691358024691357,0.654320987654321,0.07407407407407407
Neutral,0.014705882352941176,0.0014705882352941176,0.016176470588235296,0.051470588235294115,0.08676470588235294,0.008823529411764706,0.8205882352941176
