,Surprise,Fear,Disgust,Happiness,Sadness,Anger,Neutral
Surprise,0.7811550151975684,0.02735562310030395,0.015197568389057751,0.02735562310030395,0.05167173252279635,0.015197568389057751,0.08206686930091185
Fear,0.22972972972972974,0.28378378378378377,0.0,0.14864864864864866,0.13513513513513514,0.14864864864864866,0.05405405405405406
Disgust,0.05625,0.0,0.39375,0.10625,0.11875,0.10625,0.21875
Happiness,0.01350210970464135,0.004219409282700422,0.014345991561181435,0.8877637130801688,0.027848101265822784,0.008438818565400843,0.04388185654008439
Sadness,0.02092050209205021,0.008368200836820083,0.07112970711297072,0.07322175732217573,0.6715481171548117,0.014644351464435146,0.1401673640167364
Anger,0.05555555555555555,0.012345679012345678,0.10493827160493827,0.05555555555555555,0.06172839506172839,0.6790123456790124,0.030864197530864196
Neutral,0.052941176470588235,0.0014705882352941176,0.05,0.045588235294117645,0.07058823529411765,0.0014705882352941176,0.7779411764705882
