,Surprise,Fear,Disgust,Happiness,Sadness,Anger,Neutral
Surprise,257,9,5,9,17,5,27
Fear,17,21,0,11,10,11,4
Disgust,9,0,63,17,19,17,35
Happiness,16,5,17,1052,33,10,52
Sadness,10,4,34,35,321,7,67
Anger,9,2,17,9,10,110,5
Neutral,36,1,34,31,48,1,529
