epoch,lr,train_total_loss,train_ce_loss,train_affinity_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_total_loss,val_ce_loss,val_affinity_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1
1,0.0001,3.3228033018384218,1.6641062489348695,33.17394053731979,0.38039934800326,0.14209034924655828,0.08576545709981627,0.2215508255798544,2.265073576381396,1.6387624305523096,12.526222609308247,0.3890020366598778,0.14285714285714285,0.08001675743611227,0.21788677126696968
2,0.0001,2.174173037988341,1.6417506197748286,10.648448141202172,0.388039934800326,0.14265771996009094,0.08035887607841233,0.21819898449613886,2.0669836809581748,1.6154531786738004,9.030610210783856,0.3890020366598778,0.14285714285714285,0.08001675743611227,0.21788677126696968
3,0.0001,1.9815928662027298,1.5556347640238841,8.519161949919411,0.4143235533822331,0.16414504431519367,0.11869847690707729,0.2779042673074799,1.8591298477227236,1.4777830759522386,7.626935228553664,0.49287169042769857,0.2383198678880603,0.17429784950000585,0.38931386537350493
4,0.0001,1.7689541477251558,1.4134521441626762,7.110039913858353,0.4883863080684597,0.22357704407643347,0.171105254376091,0.37599049763933234,1.6694902671087541,1.3401352492466478,6.587100141451461,0.5160896130346232,0.24657982626983715,0.18115278966037662,0.4057234385893118
5,0.0001,1.608778542974856,1.3225244408034658,5.725081800151473,0.518439282803586,0.24619713402400029,0.1910657154440032,0.4134369965186728,1.5844573630820467,1.2966030326734492,5.757086387137046,0.5107942973523422,0.23188541907042212,0.17926174970085684,0.38993864123570054
6,0.0001,1.4927786419618976,1.2496415591375947,4.862741530961687,0.5423797881010595,0.2665670690196297,0.22290575270444654,0.4554669711576602,1.4465618772564983,1.199890753936379,4.933422261294425,0.5429735234215886,0.26519533437323245,0.2077767901615383,0.4468080394769818
7,0.0001,1.380179957830527,1.16826080780449,4.238383101756337,0.5768133659331703,0.30338380946806154,0.2743181127743078,0.5103743769174898,1.3319444456799696,1.123429089553973,4.170307288587457,0.5881873727087576,0.32802132111002397,0.2943561612961719,0.5296058594962317
8,0.0001,1.2949246338157996,1.110617933034314,3.686134016989884,0.6010594947025265,0.3353469869624002,0.3104281748193594,0.5452451228784773,1.2497356422078585,1.0829347693992972,3.336017473069325,0.6065173116089613,0.35962335517506755,0.3432611776435283,0.5628438276488482
9,0.0001,1.2199847623402253,1.0540661411549663,3.31837243031173,0.6268337408312958,0.3751563828919942,0.36200545757501457,0.5813635858871699,1.157446867191136,0.9907663591039156,3.3336101217328165,0.6529531568228106,0.44049800872121636,0.4170716542758303,0.6127404126261263
10,0.0001,1.1300400661664372,0.9778108561825927,3.0445841858808644,0.6601466992665037,0.4280135597257357,0.41795714242558824,0.6227330888306111,1.1039856761633258,0.9562595193109299,2.954523294180814,0.6696537678207739,0.46109811918272253,0.4498463518990395,0.6314305909208566
11,0.0001,1.0579760518128443,0.9158244152912398,2.84303277706653,0.6844947025264874,0.46333121211462946,0.45068323319179077,0.6506824239924718,1.0612096494181336,0.9170967903253746,2.882257284797622,0.6725050916496945,0.46123131281906465,0.4540843917806886,0.6331229866984099
12,0.0001,0.95722727398612,0.823563546209483,2.6732744892729716,0.7206601466992665,0.5088816154390676,0.490860731972585,0.6892105819168092,1.0199310642153085,0.8760520241168269,2.8775807256368418,0.6973523421588594,0.504518413465373,0.4879457635758139,0.678052930017418
13,0.0001,0.8866421855263528,0.7661204311356082,2.410435050507338,0.7383863080684596,0.5296958695161514,0.5124124580680982,0.7102835567753948,0.9581955931094416,0.8377747093344414,2.4084176449086176,0.7054989816700611,0.5156713207561774,0.5089250893753504,0.6933730169010623
14,0.0001,0.8235691380189897,0.714261003986256,2.1861626615151217,0.7559087204563977,0.5520615336656934,0.5359524531524772,0.7297266983264357,0.8656985536369433,0.758900959161537,2.1359520049784675,0.7323828920570264,0.5477848583691304,0.5379299813418338,0.7118603133409571
15,0.0001,0.7515628323286845,0.6530467439883108,1.970321686751685,0.7751629991850041,0.5771490784593525,0.5659255071332214,0.7528396062795513,0.8399832748832625,0.7432358618180767,1.934948184096886,0.7376782077393076,0.5465972678693135,0.5366815835326427,0.7133739599090073
16,0.0001,0.7107926690685331,0.6217054365462371,1.781744629946198,0.7869804400977995,0.5959414639431959,0.5884176289083634,0.7672924203102323,0.8388343450736611,0.7473904174359899,1.8288784923475774,0.7437881873727088,0.546094759980591,0.5454212055249213,0.7209974942323497
17,0.0001,0.6468207124004348,0.5635916131632835,1.664581976096224,0.8070497147514263,0.6250696970466454,0.622439948049627,0.790276044490926,0.9139251550686093,0.8233829662416229,1.8108439728101742,0.7189409368635438,0.5592074525787869,0.5573117263788726,0.712702172178118
18,0.0001,0.6221885212864833,0.5451402304710755,1.5409657993060162,0.8148940505297474,0.6342725417858184,0.6349559483223606,0.8008374012394863,0.8360120458661174,0.7588179269778995,1.5438823982557308,0.7364562118126273,0.5749602515440445,0.569524090416231,0.7317888679577716
19,0.0001,0.5698187592657193,0.49884059022088895,1.4195633280442417,0.8288508557457213,0.6618196717694318,0.6667386141114566,0.8172800835618368,0.8812434791790249,0.8037396550906895,1.5500763931488069,0.7319755600814664,0.5736464056460807,0.5618529352785259,0.7111782438065223
20,0.0001,0.5264585415765145,0.4591733097009962,1.3457046400363988,0.8413814180929096,0.6888495121732845,0.700865830857869,0.8326686047049053,0.8181418379552495,0.7445689303811844,1.4714581568226552,0.7507128309572302,0.5901133509199973,0.5959493658143155,0.7416295058052771
21,0.0001,0.49249179934522636,0.4292186981016966,1.2654620228303382,0.8556438467807661,0.7118221272580099,0.7236729078842892,0.8482784359217256,0.8169592984582159,0.7512956044824449,1.313273828432662,0.7462321792260692,0.6142596066184629,0.6300752974482478,0.7437226590905603
