comparison,delta_test_accuracy,delta_test_balanced_accuracy,delta_test_macro_f1,delta_test_weighted_f1
Affinity effect | Random init,-0.014015645371577623,-0.025689562519687126,-0.04074872540512009,-0.011779189901410358
Affinity effect | MS-Celeb pretrained,0.008148631029986975,0.00460103949500823,0.008793559853732424,0.007275027649016552
Pretraining effect | affinity=No,0.0798565840938722,0.11037811037015932,0.09706528941092307,0.08333542167470209
Pretraining effect | affinity=Yes,0.1020208604954368,0.14066871238485468,0.1466075746697756,0.102389639225129
