experiment,display_name,pretraining,affinity_loss,affinity_weight,best_epoch,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_ce_loss,test_affinity_loss,test_total_loss,checkpoint
random_ce,Random init + CE,Random init,No,0.0,29,0.7759674134419552,0.6715516275489631,0.687335683191763,0.7809647979139505,0.6649687270005348,0.6858081718720073,0.7775335599693527,0.8222248702658512,0.0,0.8222248702658512,/home/shinenolife/repos/DAN/ablation_results/rafdb_resnet18_mlp_legacy_exact_30ep_workers4/random_ce/best_model.pth
pretrained_ce,Pretrained + CE,MS-Celeb pretrained,No,0.0,9,0.8606924643584521,0.7790959453370031,0.7957339565079506,0.8608213820078227,0.7753468373706941,0.7828734612829303,0.8608689816440548,0.4559054185079005,0.0,0.4559054185079005,/home/shinenolife/repos/DAN/ablation_results/rafdb_resnet18_mlp_legacy_exact_30ep_workers4/pretrained_ce/best_model.pth
random_ce_affinity,Random init + CE + affinity,Random init,Yes,0.05,26,0.7678207739307535,0.6562031192323788,0.6648272405762533,0.7669491525423728,0.6392791644808477,0.6450594464668872,0.7657543700679423,0.7725797789037772,1.1395743880930904,0.8295585033635583,/home/shinenolife/repos/DAN/ablation_results/rafdb_resnet18_mlp_legacy_exact_30ep_workers4/random_ce_affinity/best_model.pth
pretrained_ce_affinity,Pretrained + CE + affinity,MS-Celeb pretrained,Yes,0.05,26,0.8623217922606925,0.7808724294880734,0.8010875852987134,0.8689700130378096,0.7799478768657023,0.7916670211366628,0.8681440092930713,0.4727718736854961,1.335398910564736,0.5395418185609572,/home/shinenolife/repos/DAN/ablation_results/rafdb_resnet18_mlp_legacy_exact_30ep_workers4/pretrained_ce_affinity/best_model.pth
