,Surprise,Fear,Disgust,Happiness,Sadness,Anger,Neutral
Surprise,0.8389057750759878,0.02735562310030395,0.030395136778115502,0.0243161094224924,0.015197568389057751,0.015197568389057751,0.0486322188449848
Fear,0.14864864864864866,0.6351351351351351,0.0,0.05405405405405406,0.10810810810810811,0.013513513513513514,0.04054054054054054
Disgust,0.0125,0.0125,0.58125,0.1,0.10625,0.0375,0.15
Happiness,0.004219409282700422,0.0,0.002531645569620253,0.9569620253164557,0.008438818565400843,0.0016877637130801688,0.026160337552742614
Sadness,0.0041841004184100415,0.012552301255230125,0.02510460251046025,0.03138075313807531,0.8619246861924686,0.0,0.06485355648535565
Anger,0.006172839506172839,0.043209876543209874,0.12345679012345678,0.043209876543209874,0.024691358024691357,0.7222222222222222,0.037037037037037035
Neutral,0.029411764705882353,0.0,0.027941176470588237,0.03235294117647059,0.047058823529411764,0.0,0.8632352941176471
