epoch,lr,train_total_loss,train_ce_loss,train_affinity_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_total_loss,val_ce_loss,val_affinity_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1
1,0.0001,1.5358587838618272,1.5358587838618272,0.0,0.42145476772616136,0.1979546840274579,0.18108500101455857,0.34122632670911224,1.402193086307549,1.402193086307549,0.0,0.4835030549898167,0.2831631360315246,0.2564575134464378,0.4558604388034822
2,0.0001,1.2471186900002837,1.2471186900002837,0.0,0.5512428687856561,0.326205643913058,0.32115589078195433,0.5078961154884603,1.138128042075396,1.138128042075396,0.0,0.5885947046843177,0.3405736345782126,0.34618054899413914,0.5319854691194166
3,0.0001,1.0574503329680427,1.0574503329680427,0.0,0.6237775061124694,0.42292350415100405,0.42790265962425905,0.5944093767297427,0.992308960815554,0.992308960815554,0.0,0.6435845213849287,0.42745892845998074,0.4429086007425046,0.6126066840378912
4,0.0001,0.9289748329113632,0.9289748329113632,0.0,0.6710472697636511,0.491545522371509,0.5039364809288197,0.6524169788863209,0.9290442120033466,0.9290442120033466,0.0,0.6778004073319756,0.49332757222360474,0.5136471003398461,0.6443007833411104
5,0.0001,0.8144118502651081,0.8144118502651081,0.0,0.7141401792991035,0.5483909406967581,0.5679546660603116,0.701047412092563,0.827323211914653,0.827323211914653,0.0,0.7083503054989817,0.5323094458400156,0.5475606914241525,0.6885445711000197
6,0.0001,0.7525263040553484,0.7525263040553484,0.0,0.7347188264058679,0.5855965915179834,0.6079034244240659,0.7257180379160187,0.8182786640470237,0.8182786640470237,0.0,0.7112016293279022,0.5520104974016665,0.5764950699687146,0.6922126341792704
7,0.0001,0.6911423409383474,0.6911423409383474,0.0,0.7543806030969845,0.6109413848472312,0.6316005799548524,0.7468716141597144,0.8246198764400909,0.8246198764400909,0.0,0.6993890020366599,0.5505206671262421,0.584035913109818,0.6824373912536851
8,0.0001,0.6391417178178863,0.6391417178178863,0.0,0.7782192339038305,0.648425832511105,0.6698019426037906,0.7720307118719931,0.8722874675651675,0.8722874675651675,0.0,0.7075356415478615,0.5830374644445315,0.5959908307918632,0.6889700290297626
9,0.0001,0.5879734622917238,0.5879734622917238,0.0,0.7972697636511817,0.687037110571177,0.7086230911218434,0.7930048152367544,0.8009203916654567,0.8009203916654567,0.0,0.7221995926680245,0.594864920996167,0.6194643932916835,0.7258644790508388
10,0.0001,0.5272603657494354,0.5272603657494354,0.0,0.8164221678891606,0.7105570627335496,0.7306823660133973,0.8130998626993934,0.8348239518474416,0.8348239518474416,0.0,0.709572301425662,0.6032963810915295,0.5976170947393002,0.7084067943344523
11,0.0001,0.48701917663665933,0.48701917663665933,0.0,0.8301752241238793,0.7399574010783102,0.7579174505607019,0.827897852893553,0.818205998725658,0.818205998725658,0.0,0.720162932790224,0.6197343944725916,0.629123492817023,0.7212324867060108
12,0.0001,0.447555738099727,0.447555738099727,0.0,0.8490220048899756,0.7633715626635657,0.7804244293066126,0.8469401854140165,0.8760830915629743,0.8760830915629743,0.0,0.6932790224032587,0.670262143180169,0.6078876969656111,0.7105792749319035
13,0.0001,0.414736024300646,0.414736024300646,0.0,0.859922575387123,0.7747684071124056,0.7917227485194462,0.8579959081782311,0.7917750217764052,0.7917750217764052,0.0,0.7437881873727088,0.5838758438454258,0.6224347523657784,0.7348581841291114
14,5e-05,0.2945030121999537,0.2945030121999537,0.0,0.9040342298288508,0.8473115672056749,0.8632003624007832,0.903168134386769,0.7518698413600261,0.7518698413600261,0.0,0.760081466395112,0.66005815362497,0.6619283541689231,0.7554757703251634
15,5e-05,0.2578670374727288,0.2578670374727288,0.0,0.9131010594947025,0.8573530263989023,0.871518685346662,0.9124298353358883,0.7743828410286525,0.7743828410286525,0.0,0.74989816700611,0.6381703581834476,0.6379542360976266,0.743378317267547
