,Surprise,Fear,Disgust,Happiness,Sadness,Anger,Neutral
Surprise,0.8115501519756839,0.04559270516717325,0.0243161094224924,0.02127659574468085,0.0060790273556231,0.02127659574468085,0.06990881458966565
Fear,0.12162162162162163,0.581081081081081,0.013513513513513514,0.02702702702702703,0.12162162162162163,0.06756756756756757,0.06756756756756757
Disgust,0.01875,0.0125,0.5875,0.075,0.13125,0.0375,0.1375
Happiness,0.007594936708860759,0.0,0.007594936708860759,0.9223628691983122,0.01350210970464135,0.004219409282700422,0.04472573839662447
Sadness,0.0,0.010460251046025104,0.02092050209205021,0.02092050209205021,0.8577405857740585,0.006276150627615063,0.08368200836820083
Anger,0.006172839506172839,0.024691358024691357,0.09259259259259259,0.04938271604938271,0.012345679012345678,0.7716049382716049,0.043209876543209874
Neutral,0.014705882352941176,0.0,0.020588235294117647,0.014705882352941176,0.052941176470588235,0.0014705882352941176,0.8955882352941177
