epoch,lr,train_total_loss,train_ce_loss,train_affinity_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_total_loss,val_ce_loss,val_affinity_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1
1,0.0001,1.136812784609604,1.136812784609604,0.0,0.5958638956805216,0.3512177921382005,0.35126052360367516,0.5454011322044069,0.6700844525562527,0.6700844525562527,0.0,0.7727087576374746,0.5732702520821921,0.549356229457569,0.7409536364993831
2,0.0001,0.5748739528189661,0.5748739528189661,0.0,0.8052159739201304,0.6209235986763993,0.6163661813886706,0.7862578559680303,0.48500889000727543,0.48500889000727543,0.0,0.8256619144602851,0.6751035104592445,0.686470871310739,0.8124173241190769
3,0.0001,0.4179790233001538,0.4179790233001538,0.0,0.857681336593317,0.7237819065187315,0.7415930151972346,0.8520091346760914,0.4406297578831069,0.4406297578831069,0.0,0.845213849287169,0.7446069644923579,0.7589413131513663,0.8424491707020245
4,0.0001,0.31774227174200853,0.31774227174200853,0.0,0.8938467807660961,0.7967388556964374,0.8143465148448191,0.8914289092195737,0.4616467795886722,0.4616467795886722,0.0,0.8529531568228106,0.7500008503885495,0.7779898268650276,0.851220782867921
5,0.0001,0.2387172870623356,0.2387172870623356,0.0,0.9211491442542787,0.8479895376858365,0.8631037164668193,0.9200676541377893,0.4334114908200903,0.4334114908200903,0.0,0.8541751527494909,0.760741227607521,0.7752733987793409,0.8526269370087333
6,0.0001,0.18845339958004187,0.18845339958004187,0.0,0.9385696821515892,0.8794399764980386,0.8907880360818564,0.9378881965098109,0.49884285960809277,0.49884285960809277,0.0,0.8468431771894094,0.765210762304297,0.7851187059387158,0.8462967205472458
7,0.0001,0.1435801850627279,0.1435801850627279,0.0,0.9540546047269763,0.9164677400131103,0.9245973560588384,0.9538000093028208,0.4617888494810116,0.4617888494810116,0.0,0.8521384928716904,0.7696074231872333,0.7801807218407818,0.851134917949028
8,0.0001,0.10309197583950042,0.10309197583950042,0.0,0.9701507742461287,0.9411611849138205,0.946784359369348,0.9700098523387066,0.5125407700626039,0.5125407700626039,0.0,0.8492871690427699,0.7643698441274173,0.7800526515854109,0.8497090094330185
9,5e-05,0.07097763215368515,0.07097763215368515,0.0,0.9784026079869601,0.9581614314712764,0.9641224019591761,0.978321095984982,0.5103246433914558,0.5103246433914558,0.0,0.8606924643584521,0.7790959453370031,0.7957339565079506,0.8601935328812162
10,5e-05,0.058095519340611516,0.058095519340611516,0.0,0.9833944580277099,0.9709365120824606,0.9723794235159897,0.9833788553828933,0.5093059755148567,0.5093059755148567,0.0,0.8553971486761711,0.7757569757708641,0.7879872601762038,0.8552560559265978
11,5e-05,0.04500176260868708,0.04500176260868708,0.0,0.9882844335778321,0.977355835177079,0.9804177664738625,0.9882746382125546,0.5406896276046691,0.5406896276046691,0.0,0.8521384928716904,0.7729254498665099,0.7822509816344726,0.8514159174048879
12,2.5e-05,0.035049325833969976,0.035049325833969976,0.0,0.991238793806031,0.9862723640488448,0.9860874017063264,0.9912393564564885,0.5399283258104033,0.5399283258104033,0.0,0.854989816700611,0.7705974662328361,0.787000509659786,0.853401134254928
13,2.5e-05,0.031236953057080033,0.031236953057080033,0.0,0.9930725346373268,0.9863011193231932,0.9879591469884522,0.9930641806825027,0.5355664159518395,0.5355664159518395,0.0,0.854989816700611,0.778140971324669,0.7901780191769113,0.8548741632428349
14,1.25e-05,0.02404982512156436,0.02404982512156436,0.0,0.9943969030154849,0.9902604315643165,0.9912840577154556,0.994397163339331,0.5405950426326993,0.5405950426326993,0.0,0.8553971486761711,0.7709032247356143,0.7862944149267082,0.8544934841479439
15,1.25e-05,0.02182847505227375,0.02182847505227375,0.0,0.9953137734311328,0.9906764858620788,0.9909940960762736,0.9953117090169936,0.5440193738568339,0.5440193738568339,0.0,0.8537678207739308,0.771981743435836,0.7836659582194764,0.8524741916677905
16,1e-05,0.02197627006508501,0.02197627006508501,0.0,0.9956193969030155,0.9927339795143578,0.9934208750758134,0.9956194309925004,0.55124517018829,0.55124517018829,0.0,0.8562118126272913,0.7723532706698614,0.7883122529040325,0.8552249097893606
17,1e-05,0.019470630837536092,0.019470630837536092,0.0,0.9970456397718012,0.9955780844993487,0.9956294050610452,0.9970457103194175,0.5546868300243696,0.5546868300243696,0.0,0.8545824847250509,0.7729396301676862,0.7885135777744395,0.8534814894898869
18,1e-05,0.02287048447236552,0.02287048447236552,0.0,0.9942950285248574,0.9919965839431031,0.9923561832659706,0.9942940831429468,0.5618635905735847,0.5618635905735847,0.0,0.8586558044806517,0.775276871034985,0.7915542971429438,0.8578948945714451
19,1e-05,0.01806107722981829,0.01806107722981829,0.0,0.9960268948655256,0.9943268332065683,0.9947771853254846,0.9960264572091418,0.5700368207486729,0.5700368207486729,0.0,0.8582484725050916,0.7780885469906572,0.7926687587834149,0.8579567595456552
